,Rating,Accuracy,Shot fired,Hits,Deaths,DMG_Get
0,70.8,20.10%,3509,704,40,464
1,55.8,15.80%,4771,753,54,591
2,47.6,16.70%,3526,589,59,549
3,47.5,15.20%,3184,484,42,442
4,24.7,10.30%,3481,359,66,583
5,24.4,14.50%,2365,343,68,603
6,73.9,14.90%,2092,311,19,181
7,65.1,12.50%,890,111,4,70
8,46.1,22.70%,1446,328,34,344
9,45.1,10.60%,2165,229,16,204
10,43.8,14.40%,1484,213,17,208
11,31.1,12.30%,1711,211,27,281
12,19.7,7.30%,1709,124,25,239
13,90.1,20.00%,2923,585,23,302
14,74.2,19.70%,2491,490,30,306
15,53,13.70%,2198,302,18,241
16,39.7,17.80%,1878,335,42,380
17,29.8,5.90%,3066,181,16,225
18,28.9,10.90%,2337,254,37,356
19,22.4,7.40%,2528,187,28,318
20,9.7,5.50%,1334,74,32,280
21,116.3,27.10%,1781,482,57,398
22,77.5,23.90%,1622,387,45,311
23,70.2,19.70%,1580,311,53,367
24,65.4,21.80%,1674,365,50,362
25,63.3,19.90%,2683,534,65,608
26,52.1,23.60%,1164,275,46,312
27,47.8,14.30%,1496,214,45,305
28,44.1,15.40%,1612,248,73,478
29,40.8,17.70%,1698,301,57,488
30,40.7,17.20%,1343,231,50,313
31,30.5,20.50%,1184,243,72,475
32,25.5,14.80%,1618,239,64,518
33,20.2,13.20%,1458,192,66,495
34,15,6.90%,2342,162,85,650
35,93.6,15.20%,3990,607,25,281
36,70.2,17.50%,2197,384,24,245
37,63.5,20.20%,1851,373,20,274
38,53.6,20.20%,2415,488,42,425
39,19.5,7.90%,1581,125,19,247
40,18.4,10.00%,1534,154,42,334
41,16.6,10.00%,818,82,15,197
42,9.8,8.40%,843,71,25,281
43,64.3,11.90%,1785,212,9,135
44,61.2,20.00%,1579,316,22,240
45,55.5,28.00%,846,237,18,221
46,52.1,16.50%,1227,202,13,171
47,29.3,16.20%,1170,189,31,284
48,27.7,9.80%,906,89,12,127
49,24.8,6.40%,2053,131,18,198
50,105.7,20.60%,3241,667,35,356
51,73.2,17.30%,2449,424,41,397
52,65.6,18.60%,2494,465,42,395
53,51.7,19.60%,1943,380,43,412
54,26.1,11.70%,1850,216,49,441
55,18.2,10.00%,1943,194,67,498
56,4.1,1.50%,1807,28,32,282
57,3.1,0.80%,1997,16,19,209
58,128.1,22.80%,1121,256,21,162
59,70.4,24.90%,1419,354,72,472
60,55.9,19.00%,1101,209,45,315
61,46.2,23.90%,683,163,51,341
62,24.7,14.80%,758,112,59,369
63,19.6,14.50%,765,111,86,518
64,18.2,13.90%,423,59,52,317
65,58.3,15.80%,3220,509,36,382
66,58.2,19.30%,3468,670,67,531
67,53.6,26.10%,1515,396,41,374
68,48,12.80%,3875,495,38,431
69,47,16.70%,2140,357,35,337
70,38.2,22.40%,1605,360,43,454
71,37.3,11.10%,2171,241,15,262
72,36.9,19.40%,1656,321,36,402
73,34.9,12.20%,2910,356,37,422
74,19.1,6.10%,1896,116,14,226
75,107.6,26.30%,1941,510,53,396
76,85.6,15.30%,2646,405,38,301
77,48.7,17.60%,829,146,29,212
78,31.3,13.00%,1589,206,62,413
79,25.6,12.10%,1454,176,73,470
80,16.7,7.30%,1370,100,47,366
81,13.8,8.80%,1105,97,55,418
82,39.8,22.10%,1205,266,42,362
83,63.2,21.20%,1766,374,38,340
84,41.2,12.70%,2001,255,23,282
85,33.6,9.70%,2094,204,34,301
86,112.6,27.30%,1121,306,31,217
87,92.8,22.10%,2028,448,45,375
88,60.9,18.90%,1442,273,33,295
89,59.4,25.40%,819,208,38,283
90,49.2,14.00%,1619,227,31,268
91,47.3,15.30%,1475,225,38,308
92,41.9,18.60%,1299,242,38,323
93,39.9,13.70%,899,123,20,136
94,39.5,14.30%,973,139,35,246
95,29.5,12.60%,667,84,31,202
96,28.6,15.40%,855,132,33,290
97,27.9,6.00%,977,59,19,138
98,27.7,16.50%,938,155,49,307
99,26.5,15.40%,1075,166,60,404
100,14.5,7.70%,1409,108,62,417
101,141.1,22.80%,3956,901,28,345
102,103.8,20.10%,3884,782,41,399
103,65.1,18.20%,3352,611,50,504
104,46.5,14.60%,2587,377,40,426
105,42.5,14.40%,3778,543,74,625
106,34.4,9.60%,2629,253,32,333
107,28.6,15.10%,2137,322,61,595
108,22.5,11.80%,3056,361,112,768
109,21.1,19.50%,998,195,75,530
110,16,13.20%,2298,304,118,934
111,124.5,14.10%,952,134,3,45
112,70.7,20.50%,785,161,15,106
113,53.9,18.10%,770,139,13,116
114,49.7,11.10%,945,105,11,85
115,32,10.60%,830,88,17,110
116,28.5,9.50%,935,89,18,123
117,25.6,11.60%,844,98,26,156
118,20.2,9.50%,811,77,29,150
119,69.6,17.60%,1178,207,15,133
120,59.7,12.70%,2150,274,23,191
121,47.4,14.70%,2116,310,30,281
122,47.3,9.60%,2691,257,26,215
123,45.3,8.60%,3657,314,36,270
124,41.3,15.40%,1534,236,23,248
125,34.4,9.80%,1922,189,25,218
126,32.6,11.40%,2655,302,61,378
127,16.8,10.20%,1096,112,33,267
128,85.6,18.90%,1451,274,3,146
129,79.8,20.50%,1528,314,9,184
130,73.8,25.10%,1141,286,10,193
131,41,24.00%,433,104,5,124
132,37.2,12.90%,1049,135,8,151
133,33.3,15.10%,920,139,11,180
134,25.4,10.10%,1510,153,13,240
135,23,10.80%,1256,136,17,239
136,19.6,15.00%,468,70,10,154
137,164.3,20.90%,1332,278,3,79
138,42.4,8.00%,1282,103,5,93
139,21.8,16.00%,681,109,28,219
140,15.5,10.20%,617,63,21,162
141,72.5,21.90%,1162,254,46,269
142,57.2,17.90%,1900,341,64,365
143,55.4,17.80%,1702,303,58,336
144,50,23.80%,1276,304,67,376
145,49.7,22.10%,1098,243,53,300
146,48.2,23.20%,1006,233,54,325
147,43.7,19.40%,973,189,47,253
148,33.7,13.30%,1310,174,54,289
149,20.7,11.00%,811,89,36,216
150,16.1,6.80%,1006,68,38,219
151,51.1,16.30%,1581,258,19,222
152,49.9,15.30%,1838,282,30,245
153,39.1,13.30%,1811,240,29,258
154,35.6,18.50%,1068,198,27,253
155,89.6,26.40%,1601,422,41,365
156,51.3,22.10%,1351,298,67,536
157,45.8,15.00%,1130,169,27,255
158,36.7,13.50%,1210,163,41,331
159,31.7,14.50%,1086,157,48,374
160,19.5,9.50%,1370,130,63,516
161,108.9,20.70%,1979,409,10,176
162,35.7,15.90%,1211,192,23,235
163,17.3,3.60%,1211,43,6,88
164,12.1,5.00%,1439,72,24,217
165,91.9,15.40%,2903,447,14,211
166,73.9,24.80%,1539,381,25,256
167,70.6,28.50%,1497,426,27,315
168,69.8,16.10%,2354,380,26,239
169,63.2,21.70%,1340,291,21,219
170,61.5,15.20%,1525,232,13,163
171,51.6,18.50%,1600,296,23,261
172,47.7,17.20%,1062,183,10,171
173,41,13.40%,1480,198,15,203
174,31.7,3.90%,1920,75,7,84
175,19.8,8.80%,1279,112,25,221
176,17.1,8.70%,1184,103,24,235
177,17.1,8.80%,1264,111,28,254
178,9.7,7.90%,582,46,16,182
179,9.7,5.00%,1145,57,19,214
180,8.9,3.40%,1104,37,16,147
181,72.4,13.20%,2414,318,21,214
182,58,17.30%,1940,335,35,294
183,57.5,16.60%,1935,321,34,307
184,45.8,21.00%,1760,370,61,447
185,31.7,16.50%,1213,200,41,333
186,31.6,16.20%,1391,225,46,367
187,17.5,8.60%,1020,88,30,261
188,274.2,28.70%,2820,810,8,154
189,209.9,21.80%,3342,728,10,165
190,162,27.70%,1772,491,9,156
191,156.9,17.30%,2695,465,11,132
192,118.3,17.70%,2266,401,6,152
193,90.7,16.00%,1702,272,7,131
194,17.6,13.40%,1745,234,82,560
195,12.6,16.30%,753,123,54,429
196,12.6,8.50%,2011,170,61,525
197,9.4,12.10%,1228,148,83,650
198,9.2,5.50%,2135,118,51,474
199,6.9,6.70%,1439,97,67,529
200,105.5,24.20%,2275,550,45,389
201,55.7,20.90%,1448,303,47,388
202,62.6,15.60%,1679,262,25,254
203,33.9,12.60%,2326,294,64,547
204,30.4,12.00%,1417,170,34,302
205,30.1,11.10%,1796,199,51,430
206,16.4,5.70%,1356,77,19,221
207,9.7,5.30%,862,46,32,252
208,63.2,13.70%,2733,375,29,281
209,62.7,16.00%,2143,342,31,281
210,28.5,9.50%,2455,234,40,361
211,25.9,9.70%,2633,256,51,434
212,134.3,17.00%,2594,442,11,146
213,36.2,16.10%,1405,226,30,274
214,20.5,9.60%,985,95,18,183
215,15.2,8.60%,1204,103,29,263
216,108.6,30.70%,3473,1066,47,527
217,103.8,30.40%,3365,1023,47,527
218,63.4,19.80%,4963,984,62,721
219,56,21.30%,6031,1287,119,1092
220,37.9,13.60%,3385,462,43,516
221,31.4,14.10%,3598,508,69,691
222,29.2,10.70%,5706,608,95,841
223,24.5,9.50%,4730,449,69,727
224,22.8,10.20%,3912,398,68,701
225,8.8,5.20%,2695,140,69,582
226,84.7,15.10%,1577,238,15,193
227,80,10.60%,1902,202,11,143
228,28.9,8.50%,1554,132,34,291
229,12.8,6.30%,1418,90,49,389
230,106.6,20.90%,3048,638,19,282
231,55.9,22.20%,1659,368,28,316
232,46.8,13.80%,2893,399,30,362
233,43.3,21.40%,1230,263,23,288
234,42.8,14.20%,2658,378,38,377
235,36.9,18.90%,1532,289,35,359
236,28.1,8.50%,2678,227,29,314
237,25.7,13.40%,1294,173,28,284
238,23.7,7.30%,3429,252,39,405
239,66.2,16.70%,2713,454,68,304
240,66.1,17.80%,1960,348,39,237
241,52.2,15.70%,2092,329,40,275
242,37.8,14.20%,1862,265,57,299
