,Accuracy,Shot fired,Hits,Deaths,DMG_Get
535,8.4,3107,262,51,475
827,18.2,1193,217,39,312
331,22.1,4255,940,45,456
361,23.9,619,148,13,107
445,8.1,1439,116,35,264
948,7.0,1491,105,12,111
743,4.9,1787,88,18,274
476,16.0,1633,261,67,529
877,6.8,2897,196,44,506
120,12.7,2150,274,23,191
681,8.7,1987,173,21,245
689,15.3,2412,368,35,375
659,1.9,2108,39,41,421
843,19.2,1384,266,40,259
112,20.5,785,161,15,106
582,18.9,1169,221,53,442
558,20.9,1697,354,20,267
806,10.6,3315,352,63,538
831,4.5,1588,72,40,280
164,5.0,1439,72,24,217
940,4.0,979,39,17,185
440,19.5,1551,302,43,328
485,20.2,1602,323,76,597
308,13.0,1865,243,28,358
352,8.7,1584,138,28,283
844,12.6,1852,233,27,202
250,24.2,1341,325,27,260
277,10.7,1588,170,61,356
643,14.2,2442,347,39,385
982,25.8,3653,943,54,582
460,17.1,1383,237,38,233
809,22.3,1621,362,26,323
757,17.4,2930,510,56,462
442,14.6,2007,293,49,311
1004,22.2,2436,541,68,552
122,9.6,2691,257,26,215
170,15.2,1525,232,13,163
784,12.4,2881,358,19,218
919,15.8,499,79,20,143
320,19.7,1634,322,20,225
36,17.5,2197,384,24,245
946,11.0,2849,314,14,167
664,8.9,1953,174,12,159
756,16.0,2954,472,50,411
444,16.0,1057,169,43,277
150,6.8,1006,68,38,219
547,12.4,2582,319,25,357
328,12.7,1079,137,29,242
933,10.8,500,54,6,85
991,4.8,2352,112,62,589
43,11.9,1785,212,9,135
59,24.9,1419,354,72,472
438,21.7,1945,423,52,356
850,16.2,3932,638,43,428
611,5.2,2352,122,42,363
293,14.5,1620,235,15,224
732,14.8,4862,720,25,367
239,16.7,2713,454,68,304
166,24.8,1539,381,25,256
61,23.9,683,163,51,341
855,7.9,2368,186,41,356
169,21.7,1340,291,21,219
69,16.7,2140,357,35,337
475,9.6,1661,160,28,223
421,17.7,2351,417,47,459
875,15.5,3116,484,56,570
397,4.1,2834,117,32,291
135,10.8,1256,136,17,239
519,11.5,3738,430,20,279
620,24.0,1995,479,56,502
244,19.5,910,177,47,280
762,11.3,1826,207,55,404
650,14.8,5667,836,54,627
152,15.3,1838,282,30,245
68,12.8,3875,495,38,431
873,16.7,2014,336,32,321
488,3.4,1629,56,60,516
614,14.3,2203,314,37,421
657,6.5,5032,326,97,787
208,13.7,2733,375,29,281
623,15.9,2220,353,62,548
538,12.8,4250,542,15,315
214,9.6,985,95,18,183
771,23.3,1472,343,40,368
142,17.9,1900,341,64,365
1001,18.7,3476,650,55,486
227,10.6,1902,202,11,143
19,7.4,2528,187,28,318
551,25.1,1834,461,39,358
426,18.8,2843,535,31,348
918,14.6,2221,324,68,379
175,8.8,1279,112,25,221
581,13.9,1278,178,39,374
580,15.2,1466,223,32,313
403,8.1,1687,136,32,279
854,4.1,3318,135,14,228
685,32.6,1378,449,33,348
967,14.8,1000,148,54,352
418,5.0,456,23,22,178
972,13.9,3660,508,25,329
87,22.1,2028,448,45,375
77,17.6,829,146,29,212
