,Accuracy,Hits,DMG_Get
535,8.4,262,475
827,18.2,217,312
331,22.1,940,456
361,23.9,148,107
445,8.1,116,264
948,7.0,105,111
743,4.9,88,274
476,16.0,261,529
877,6.8,196,506
120,12.7,274,191
681,8.7,173,245
689,15.3,368,375
659,1.9,39,421
843,19.2,266,259
112,20.5,161,106
582,18.9,221,442
558,20.9,354,267
806,10.6,352,538
831,4.5,72,280
164,5.0,72,217
940,4.0,39,185
440,19.5,302,328
485,20.2,323,597
308,13.0,243,358
352,8.7,138,283
844,12.6,233,202
250,24.2,325,260
277,10.7,170,356
643,14.2,347,385
982,25.8,943,582
460,17.1,237,233
809,22.3,362,323
757,17.4,510,462
442,14.6,293,311
1004,22.2,541,552
122,9.6,257,215
170,15.2,232,163
784,12.4,358,218
919,15.8,79,143
320,19.7,322,225
36,17.5,384,245
946,11.0,314,167
664,8.9,174,159
756,16.0,472,411
444,16.0,169,277
150,6.8,68,219
547,12.4,319,357
328,12.7,137,242
933,10.8,54,85
991,4.8,112,589
43,11.9,212,135
59,24.9,354,472
438,21.7,423,356
850,16.2,638,428
611,5.2,122,363
293,14.5,235,224
732,14.8,720,367
239,16.7,454,304
166,24.8,381,256
61,23.9,163,341
855,7.9,186,356
169,21.7,291,219
69,16.7,357,337
475,9.6,160,223
421,17.7,417,459
875,15.5,484,570
397,4.1,117,291
135,10.8,136,239
519,11.5,430,279
620,24.0,479,502
244,19.5,177,280
762,11.3,207,404
650,14.8,836,627
152,15.3,282,245
68,12.8,495,431
873,16.7,336,321
488,3.4,56,516
614,14.3,314,421
657,6.5,326,787
208,13.7,375,281
623,15.9,353,548
538,12.8,542,315
214,9.6,95,183
771,23.3,343,368
142,17.9,341,365
1001,18.7,650,486
227,10.6,202,143
19,7.4,187,318
551,25.1,461,358
426,18.8,535,348
918,14.6,324,379
175,8.8,112,221
581,13.9,178,374
580,15.2,223,313
403,8.1,136,279
854,4.1,135,228
685,32.6,449,348
967,14.8,148,352
418,5.0,23,178
972,13.9,508,329
87,22.1,448,375
77,17.6,146,212
145,22.1,243,300
750,14.1,648,854
545,14.6,658,444
144,23.8,304,376
662,13.3,258,185
199,6.7,97,529
814,12.2,381,475
916,26.2,210,242
647,10.4,229,402
253,14.8,187,332
846,9.8,110,288
124,15.4,236,248
894,7.8,384,561
338,4.9,93,475
483,20.9,312,440
682,12.3,199,332
347,15.9,333,275
677,24.4,395,273
260,8.5,145,175
